PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck
0013_01,0,1,2,27,0,0,0,0,0,0
0018_01,0,0,2,19,0,0,9,0,2823,0
0019_01,1,1,0,31,0,0,0,0,0,0
0021_01,1,0,2,38,0,0,6652,0,181,585
0023_01,0,0,2,20,0,10,0,635,0,0
0027_01,0,0,2,31,0,0,1615,263,113,60
0029_01,1,1,0,21,0,0,439,0,0,0
0032_01,1,1,2,20,0,0,0,0,0,0
0032_02,1,1,0,23,0,0,0,0,0,0
0033_01,0,0,0,24,0,0,639,0,0,0
0037_01,0,0,2,19,0,339,3,136,237,0
0040_01,1,0,2,45,0,932,74,177,7,1010
0040_02,1,0,2,44,0,0,1561,0,14,224
0042_01,2,1,2,46,0,0,0,0,0,0
0046_01,0,0,2,21,0,0,0,0,1687,92
0046_02,0,0,2,27,0,0,0,0,903,310
0046_03,0,0,2,20,0,2,12,253,457,690
0047_01,1,1,2,44,0,0,0,0,0,0
0047_02,1,0,2,29,0,0,7708,243,569,343
0047_03,1,0,2,40,0,26,1925,8,3144,63
0048_01,0,0,2,30,0,0,878,26,3,0
0049_01,0,0,2,14,0,219,0,0,1609,0
0054_01,1,1,0,31,0,0,0,0,0,0
0054_02,1,0,0,27,0,0,6977,0,4,1235
0054_03,1,0,0,66,0,39,6452,0,1409,155
0055_01,0,0,2,24,0,1784,8,18,18,0
0057_01,1,0,0,19,0,293,3495,5273,118,422
0059_01,0,1,2,36,0,0,0,0,0,0
0060_01,0,0,2,21,0,0,619,12,3,0
0063_01,0,1,0,18,0,0,0,0,0,0
0065_01,0,1,2,26,0,0,0,0,0,0
0075_01,0,0,2,19,0,598,0,30,0,0
0079_01,0,1,2,48,0,0,0,0,0,0
0080_01,0,0,2,23,0,14,870,0,0,23
0083_01,0,0,2,24,0,483,0,87,214,0
0087_01,0,0,2,19,0,0,20,135,265,367
0089_01,2,1,2,24,0,0,0,0,0,0
0093_01,0,0,2,27,0,66,1736,0,0,15
0094_01,0,1,2,6,0,219,0,0,0,0
0094_02,0,0,2,33,0,0,0,0,866,0
0095_01,0,0,1,23,0,0,0,1235,0,0
0096_01,0,0,1,30,0,1,0,1585,0,484
0100_01,0,0,2,28,0,0,17,997,0,0
0100_02,0,0,2,1,0,0,0,0,0,0
0104_01,0,0,2,20,0,1,0,0,599,0
0106_01,0,1,2,17,0,0,0,0,0,0
0109_01,0,0,2,34,0,0,0,39,1,556
0117_01,0,0,1,24,0,0,22,82,0,686
0118_01,0,0,2,29,0,14,869,177,1,0
0121_01,0,0,2,20,0,1037,1,2,0,1576
0124_01,0,1,0,5,0,0,0,0,0,0
0125_01,1,1,0,22,0,0,0,0,0,0
0125_02,1,0,2,16,0,3966,2872,0,0,2458
0130_01,0,1,0,7,0,0,0,0,0,0
0131_01,0,0,0,36,0,0,0,571,36,0
0132_01,2,0,0,26,0,46,315,2305,0,97
0135_01,0,0,2,40,0,413,514,1,0,0
0137_01,0,1,2,29,0,0,0,0,0,0
0142_01,2,1,2,2,0,0,0,0,0,0
0142_02,2,0,2,23,0,378,402,0,0,509
0142_03,2,0,2,0,0,0,0,0,0,0
0143_01,1,0,0,30,0,0,8853,6108,29,3523
0145_01,0,0,2,56,0,0,44,23,723,0
0150_01,1,1,2,36,0,0,0,0,0,0
0150_02,1,1,2,56,0,0,0,0,0,0
0153_01,0,0,2,19,0,32,0,521,0,223
0154_01,0,1,1,39,0,0,0,0,0,0
0155_01,2,0,2,38,0,2,26,148,1213,0
0156_01,2,0,2,28,0,0,0,0,0,0
0157_01,1,0,2,35,0,0,463,0,1502,585
0158_01,0,0,0,26,0,832,0,0,21,136
0158_02,0,0,2,31,0,0,0,705,0,0
0159_01,0,0,2,38,0,0,3,0,756,0
0161_01,0,0,0,27,0,219,11,0,0,1172
0162_01,2,1,0,30,0,0,0,0,0,0
0166_01,0,0,2,22,0,0,772,0,0,0
0168_01,1,1,2,29,0,0,0,0,0,0
0175_01,0,1,2,0,0,0,0,0,0,0
0175_02,0,0,0,8,0,0,0,0,0,0
0175_03,0,1,2,3,0,0,0,0,0,0
0175_04,0,1,2,27,0,0,0,0,0,0
0175_05,0,0,2,9,0,0,0,0,0,0
0176_01,0,0,1,29,0,362,15,0,0,450
0180_01,0,0,2,18,0,756,116,0,1,58
0184_01,2,0,2,22,0,197,0,1175,0,0
0185_01,2,0,2,24,0,6,11,1404,0,0
0187_01,2,1,0,25,0,0,0,0,0,0
0191_01,0,0,2,36,0,261,0,206,465,0
0194_01,1,1,2,14,0,0,0,0,0,0
0194_02,1,1,0,24,0,0,0,0,0,0
0194_03,1,0,0,26,1,0,275,0,4572,163
0204_01,0,0,1,29,0,1669,2,242,155,0
0208_01,0,0,2,40,0,44,0,565,0,18
0209_01,1,0,2,36,0,33,439,0,12767,1193
0214_01,1,0,2,46,0,717,516,4,2,2439
0214_02,1,0,2,42,0,4762,20,0,4,41
0215_01,0,1,2,23,0,0,0,0,0,0
0218_01,0,0,2,19,0,741,12,1,0,0
0226_01,1,0,0,25,0,3,3833,8098,1531,0
0227_01,0,0,2,22,0,0,0,0,0,0
0228_01,1,1,2,35,0,0,0,0,0,0
0228_02,1,0,0,39,0,0,25273,0,13,1714
0228_03,1,1,0,42,0,0,0,0,0,0
0228_04,1,0,2,35,0,0,1442,0,1813,6439
0230_01,0,1,1,29,0,0,0,0,0,0
0230_02,0,0,2,20,0,786,0,0,0,310
0235_01,0,1,2,25,0,0,0,0,0,0
0236_01,2,1,2,36,0,0,0,0,0,0
0238_01,2,0,2,39,0,2556,0,22,0,0
0247_01,1,1,0,23,0,0,0,0,0,0
